iter	RMSE
161	0.1850343157
162	0.1844404037
163	0.1840446142
164	0.183862277
165	0.1834935456
166	0.1829980429
167	0.1824763473
168	0.1820419653
169	0.1815915645
170	0.1812362584
171	0.1809614489
172	0.1806262268
173	0.1799989304
174	0.1794524993
175	0.1791882069
176	0.178730766
177	0.1783210287
178	0.1777927883
179	0.1774371441
180	0.1769289421
181	0.176494874
182	0.1758734682
183	0.1755251811
184	0.1752897165
185	0.1746796591
186	0.174062254
187	0.1735780762
188	0.1733028789
189	0.1729025963
190	0.1726080244
191	0.1722534938
192	0.1716539268
193	0.1712773434
194	0.170631735
195	0.1703329153
196	0.1697002756
197	0.1693258238
198	0.1689918826
199	0.1685051553
200	0.1680086578
201	0.1674956009
202	0.1670901583
203	0.1668274508
204	0.1664446179
205	0.1661164434
206	0.1655703267
207	0.1653142134
208	0.1646754517
209	0.1639298568
210	0.1636504364
211	0.1629229968
212	0.1624744742
213	0.1617870009
214	0.1616309743
215	0.1613569834
216	0.1608149189
217	0.1605015237
218	0.159922172
219	0.1595120051
220	0.1587331281
221	0.1583208896
222	0.157701428
223	0.1571982171
224	0.1566901486
225	0.1561824897
226	0.1554731446
227	0.154880967
228	0.1546716203
229	0.154380168
230	0.1540385398
231	0.1536791434
232	0.1530835996
233	0.1529267175
234	0.1522628418
235	0.1519233274
236	0.1516313515
237	0.1514197819
238	0.1512701665
239	0.1506601975
240	0.150229858
241	0.1500750467
242	0.149735161
243	0.1494685
244	0.1488910321
245	0.1487750218
246	0.1485405947
247	0.1481015522
248	0.147472692
249	0.147231746
250	0.1470760048
251	0.1468993334
252	0.1464856028
253	0.1463717763
254	0.1461585427
255	0.1455510381
256	0.1452704658
257	0.1449966431
258	0.1443994197
259	0.1442397744
260	0.1439243136
261	0.1437714766
262	0.1432163393
263	0.142942582
264	0.1424839204
265	0.1421573695
266	0.1417270747
267	0.1411368378
268	0.1408695249
269	0.1404922225
270	0.1400408604
271	0.1398754892
272	0.1397354146
273	0.1391895232
274	0.1387132453
275	0.1384111705
276	0.1383047399
277	0.1378913172
278	0.1377741977
279	0.1372149653
280	0.1368105285
281	0.1366581212
282	0.1362082525
283	0.1356345192
284	0.1351240835
285	0.1346595444
286	0.1341651181
287	0.1340214782
288	0.1335015134
289	0.1329736991
290	0.1328726006
291	0.1323540583
292	0.1321626331
293	0.1320577742
294	0.1316922179
295	0.1313369348
296	0.1309282402
297	0.1305123502
298	0.1303882729
299	0.1300041939
300	0.1298691035
301	0.1293289921
302	0.1287990342
303	0.1285870593
304	0.128494617
305	0.1283165352
306	0.1280050386
307	0.1279021594
308	0.1276614021
309	0.126973514
310	0.126524152
311	0.1262911346
312	0.1260990833
313	0.1256536539
314	0.1255820336
315	0.1251410903
316	0.1247977613
317	0.1244442969
318	0.124355779
319	0.1239182238
320	0.1234639049
321	0.1230975019
322	0.1229323918
323	0.1228490366
324	0.1221696247
325	0.1217587426
326	0.1215351619
327	0.1212177197
328	0.1210847919
329	0.120999362
330	0.1205815578
331	0.120394099
332	0.1200980589
333	0.1197669621
334	0.119660796
335	0.119113814
336	0.1189976213
337	0.1184635426
338	0.1181387741
339	0.1175953516
340	0.1173337359
341	0.1168089693
342	0.1162849968
343	0.1159406154
344	0.1156121158
345	0.1152209169
346	0.1148618265
347	0.114585112
348	0.1143442558
349	0.1139605015
350	0.1138858705
351	0.1138074657
352	0.1134764905
353	0.1131252998
354	0.1129032075
355	0.1127744096
356	0.1123551078
357	0.1121170478
358	0.1120475527
359	0.1117360359
360	0.1116329178
361	0.1114647856
362	0.1110269041
363	0.1107361041
364	0.11043369
365	0.1101476051
366	0.1097205577
367	0.1093527
368	0.1091518621
369	0.1090581274
370	0.1087817763
371	0.1084243867
372	0.1080762557
373	0.1078980737
374	0.1075181568
375	0.1073185943
376	0.1070579375
377	0.1069546833
378	0.1067864337
379	0.106733742
380	0.1065309766
381	0.1060120682
382	0.1057891914
383	0.1052241702
384	0.1049390405
385	0.1046988488
386	0.1043944027
387	0.1043249129
388	0.1040281051
389	0.1036522832
390	0.103588355
391	0.1032793783
392	0.1031030125
393	0.1026623695
394	0.1023289513
395	0.1020413607
396	0.1018735402
397	0.1014090287
398	0.1012370644
399	0.1008301843
400	0.1005083763
401	0.1003065562
402	0.09993496592
403	0.09959715659
404	0.09926767916
405	0.09915009404
406	0.09853990167
407	0.09831477365
408	0.09794220049
409	0.09741769033
410	0.09707557164
411	0.09656449883
412	0.09615751322
413	0.09590514279
414	0.09570794195
415	0.09518550255
416	0.09502082762
417	0.09480833645
418	0.09445208908
419	0.0940866555
420	0.09391801744
421	0.09373641868
422	0.09367529265
423	0.09361691588
424	0.09338954741
425	0.09312357435
426	0.09275259703
427	0.09271067476
428	0.09249514013
429	0.09229605454
430	0.09208979899
431	0.09179234824
432	0.09150599423
433	0.09112428805
434	0.09105199576
435	0.09097823967
436	0.09066786684
437	0.09049169015
438	0.09030227462
439	0.09003486838
440	0.08962782899
441	0.08939854099
442	0.08904152124
443	0.08860894682
444	0.08844382309
445	0.08799875968
446	0.08793364211
447	0.08765969287
448	0.0876124926
449	0.08742196769
450	0.08712558173
451	0.08680831329
452	0.08634767575
453	0.08612333223
454	0.08581113583
455	0.0854894063
456	0.0852600153
457	0.08488531564
458	0.08474712653
459	0.08458139113
460	0.08439189315
461	0.08421060517
462	0.08413304202
463	0.08394743425
464	0.08380616273
465	0.08375879134
466	0.08371334836
467	0.0835313972
468	0.0832059259
469	0.08284387661
470	0.08268956
471	0.08210018322
472	0.08182026012
473	0.0817041038
474	0.08146532387
475	0.08123773134
476	0.08093610551
477	0.0806932249
478	0.08054902626
479	0.08031958084
480	0.08020630511
481	0.08002968248
482	0.07986110949
483	0.07978145483
484	0.07967938472
485	0.07959522117
486	0.07933453067
487	0.07926200479
488	0.0790618376
489	0.0789402117
490	0.07870221157
491	0.07842097241
492	0.07819356064
493	0.0779617857
494	0.07787927603
495	0.07765420259
496	0.07751556747
497	0.07732400366
498	0.07710136049
499	0.0768371365
500	0.07660721112
501	0.07634366908
502	0.07612200939
503	0.07582172273
504	0.07549394367
505	0.07533037673
506	0.07499513892
507	0.07482363904
508	0.07465920005
509	0.07461842336
510	0.07435233616
511	0.07417922092
512	0.07397199641
513	0.07378481752
514	0.07375055551
515	0.0735088317
516	0.07334157671
517	0.07330735499
518	0.07317206767
519	0.07292799966
520	0.07263367242
521	0.07224767802
522	0.07220125338
523	0.07181145716
524	0.07164324537
525	0.07144505575
526	0.07119220646
527	0.07108359879
528	0.07081286335
529	0.07078180656
530	0.07064303352
531	0.07054701106
532	0.07033746589
533	0.07025233103
534	0.07009151774
535	0.06999816115
536	0.06986246751
537	0.06958292861
538	0.06934879996
539	0.06913540587
540	0.06884265024
541	0.06881600973
542	0.0686112591
543	0.06845871168
544	0.06822803328
545	0.06800292806
546	0.06792325418
547	0.06760353742
548	0.06725363952
549	0.06705127158
550	0.06675277405
551	0.0665700812
552	0.06639746715
553	0.06618073136
554	0.06608718538
555	0.06593596087
556	0.06579041911
557	0.06570635826
558	0.06561719028
559	0.06527539275
560	0.06520743886
561	0.0649613415
562	0.06490219968
563	0.06480471108
564	0.06470697927
565	0.06448173733
566	0.06444634518
567	0.06408275935
568	0.06404793671
569	0.06395351407
570	0.06369073647
571	0.06360753616
572	0.06353307971
573	0.0634246417
574	0.06339455286
575	0.06330766772
576	0.063256106
577	0.06299010348
578	0.06293264973
579	0.06281298427
580	0.0626701658
581	0.06247871697
582	0.06224047009
583	0.06191692614
584	0.06183835801
585	0.06170751618
586	0.06150678587
587	0.06145157559
588	0.0613858245
589	0.06123700488
590	0.06111348061
591	0.0610119523
592	0.06091732496
593	0.06066207048
594	0.06038260805
595	0.06008872259
596	0.05980648448
597	0.05956228858
598	0.05921384644
599	0.05913214506
600	0.05894593405
601	0.05882589326
602	0.05865363028
603	0.05856317631
604	0.05848298317
605	0.05838298573
606	0.05827410709
607	0.0581970384
608	0.0581333947
609	0.05793250437
610	0.05779342612
611	0.05770355691
612	0.05765302603
613	0.05746931748
614	0.05722098182
615	0.05689481188
616	0.05680632674
617	0.05668168968
618	0.0564644314
619	0.05639002827
620	0.05628995449
621	0.05611742592
622	0.05608603305
623	0.05583150805
624	0.05573480432
625	0.05545607605
626	0.05538040134
627	0.05533042973
628	0.05505813791
629	0.05497602449
630	0.05492368487
631	0.05475517816
632	0.05463941076
633	0.05447657071
634	0.05433670941
635	0.05424354029
636	0.05414852538
637	0.05403069479
638	0.05375485366
639	0.05364373718
640	0.05349722849
641	0.05339021838
642	0.05331975144
643	0.05322367501
644	0.05307509256
645	0.05296896266
646	0.05275768605
647	0.05266473588
648	0.05248706544
649	0.05242131653
650	0.05215162481
651	0.05212807945
652	0.05203140079
653	0.05195741054
654	0.0517174651
655	0.05159812088
656	0.05151694149
657	0.05140760955
658	0.05130325669
659	0.05123125351
660	0.05097360765
661	0.05091437211
662	0.05076835931
663	0.05066696751
664	0.05048132716
665	0.05045684375
666	0.05040871534
667	0.05026417472
668	0.0502069876
669	0.05018227991
670	0.05016251028
671	0.04995656272
672	0.0499384699
673	0.04987874341
674	0.04985163032
675	0.04983356771
676	0.04980586075
677	0.0497734025
678	0.04969407037
679	0.04967695399
680	0.04963655272
681	0.04955659388
682	0.04935389516
683	0.04928426874
684	0.04923953931
685	0.0491539832
686	0.04904105665
687	0.04887653946
688	0.04863379551
689	0.04855404692
690	0.0483145531
691	0.04819376938
692	0.0481208692
693	0.04794206601
694	0.04779672626
695	0.04756935444
696	0.04750621275
697	0.04745250542
698	0.04723975247
699	0.04713618414
700	0.04690926401
701	0.04683279773
702	0.04663935732
703	0.04647780141
704	0.04631924092
705	0.04626815739
706	0.04598876797
707	0.04581109109
708	0.04572903415
709	0.04561071376
710	0.04557702021
711	0.04539657712
712	0.04536485016
713	0.0452459228
714	0.04515977842
715	0.04513978751
716	0.04499667617
717	0.0448214713
718	0.04472981555
719	0.04465777317
720	0.04445986652
721	0.04438070653
722	0.04428003405
723	0.04407711692
724	0.04397360764
725	0.04379430452
726	0.04372967788
727	0.0436204212
728	0.04343545188
729	0.04330945376
730	0.04313015777
731	0.04306667088
732	0.04286520797
733	0.04268587992
734	0.04264945695
735	0.04250146821
736	0.04235008587
737	0.04228756502
738	0.04213285611
739	0.04208535799
740	0.04197744583
741	0.04191081769
742	0.04181061377
743	0.04178252249
744	0.0417363427
745	0.04168796905
746	0.04157955001
747	0.04140212071
748	0.04127299654
749	0.04102019217
750	0.04084426622
751	0.04071450912
752	0.04064103256
753	0.04047263899
754	0.0403501639
755	0.04024465621
756	0.04016500577
757	0.04009346631
758	0.0400109749
759	0.03981693227
760	0.03978699682
761	0.03977230153
762	0.03969307704
763	0.03959896655
764	0.03946365024
765	0.03929940057
766	0.03927583395
767	0.03912613211
768	0.03904181731
769	0.03897115854
770	0.03889028518
771	0.03881473089
772	0.03867565816
773	0.03860823181
774	0.03859435451
775	0.03852139284
776	0.0383755024
777	0.03831942523
778	0.03826967706
779	0.03816859552
780	0.038152794
781	0.03811839798
782	0.03798944066
783	0.03789512923
784	0.03779228992
785	0.03767786364
786	0.03757737169
787	0.0374027257
788	0.03720533593
789	0.03698819848
790	0.03692463052
791	0.0368346384
792	0.03673436173
793	0.03659203324
794	0.03643952526
795	0.03641815922
796	0.03629622122
797	0.03610625996
798	0.03607273717
799	0.03593954519
800	0.03587187846
801	0.03579903818
802	0.03572899603
803	0.03566926684
804	0.03557350418
805	0.03551006771
806	0.035401942
807	0.03536283151
808	0.03522321559
809	0.03500956608
810	0.03498004745
811	0.03476639335
812	0.0346101011
813	0.03452843051
814	0.03443941435
815	0.03439390336
816	0.03433990806
817	0.03423776759
818	0.03407685573
819	0.03402213285
820	0.03399925013
821	0.03385356459
822	0.03377437736
823	0.03372462075
824	0.03368537139
825	0.03362789591
826	0.03344979159
827	0.03337529465
828	0.03331600151
829	0.03326370563
830	0.03315445196
831	0.03301334062
832	0.03296342707
833	0.03292542811
834	0.03279601335
835	0.03275222985
836	0.03266736957
837	0.03262900536
838	0.03252134234
839	0.03243879727
840	0.03240244264
841	0.03232968398
842	0.03228485123
843	0.03223096285
844	0.03214802962
845	0.03207634455
846	0.0319756444
847	0.03195590919
848	0.03179655766
849	0.03169990448
850	0.03158097914
851	0.03150184999
852	0.03134103922
853	0.03129787574
854	0.03127685879
855	0.03122611939
856	0.03116097113
857	0.03110283246
858	0.03100863186
859	0.03095606707
860	0.03091335888
861	0.03088478752
862	0.03079476939
863	0.03067762611
864	0.03063816776
865	0.03045721476
866	0.03034985189
867	0.03022578947
868	0.03013428026
869	0.03008185818
870	0.02992000338
871	0.02986217683
872	0.02982416329
873	0.02975280873
874	0.02969170612
875	0.02962885241
876	0.02950746529
877	0.02949358761
878	0.02938955895
879	0.02932252172
880	0.02925722821
881	0.02919646582
882	0.02918668952
883	0.02910255092
884	0.02905493108
885	0.0289697852
886	0.02894792951
887	0.02885396045
888	0.02880676154
889	0.02875420057
890	0.02869160902
891	0.02864433673
892	0.0286254417
893	0.02859441161
894	0.02854169424
895	0.02845827206
896	0.02844008937
897	0.02836170773
898	0.02824383126
899	0.02819323182
900	0.02812379673
901	0.02802518997
902	0.02795875224
903	0.02792624841
904	0.0278003329
905	0.02777572706
906	0.02770954986
907	0.02769502113
908	0.02759618625
909	0.02753054128
910	0.0274876821
911	0.02741321453
912	0.02738810008
913	0.02734854207
914	0.02728717433
915	0.02724866316
916	0.02724074458
917	0.02719706163
918	0.0270522019
919	0.02698275475
920	0.02688757404
921	0.02687772861
922	0.02686057327
923	0.02678204005
924	0.02676381072
925	0.02671510804
926	0.02664235723
927	0.0265750289
928	0.02650251666
929	0.02639824387
930	0.02638421747
931	0.0263252737
932	0.02629608883
933	0.0262884707
934	0.02624322609
935	0.02613539735
936	0.02609172887
937	0.02606930599
938	0.02596121222
939	0.02587037636
940	0.02580063073
941	0.02574685412
942	0.02572100687
943	0.02564976948
944	0.02560276575
945	0.02558127107
946	0.02553659603
947	0.02551027823
948	0.02544901527
949	0.02540547963
950	0.0253588484
951	0.02532736633
952	0.02531983486
953	0.02528636632
954	0.02526924387
955	0.02517803147
956	0.02512525126
957	0.02507374603
958	0.02497379801
959	0.02489384811
960	0.02488641034
961	0.0248059616
962	0.02474128325
963	0.0247153509
964	0.02465839776
965	0.02461846684
966	0.02458550232
967	0.0245331014
968	0.02449210757
969	0.02436023594
970	0.02428248201
971	0.02421394109
972	0.02408974043
973	0.0239816378
974	0.02395644869
975	0.02384598958
976	0.02380777545
977	0.02373876262
978	0.02368733101
979	0.0236383878
980	0.02359064385
981	0.02358280128
982	0.02353893221
983	0.02349647171
984	0.02336175047
985	0.02334450235
986	0.02328337923
987	0.02324774528
988	0.02321834106
989	0.023135695
990	0.02309727425
991	0.02304478006
992	0.02300936366
993	0.02295402905
994	0.02290701711
995	0.02283831283
996	0.02282926601
997	0.02271132705
998	0.02265304142
999	0.0226202441
